Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-04-15,380.329987,382.540009,380.279999,382.290009,372.129547,3573800,798
2021-04-16,383.559998,384.149994,382.190002,383.630005,373.433899,3252500,799
2021-04-19,382.619995,383.089996,380.369995,381.73999,371.594086,3945700,800
2021-04-20,380.48999,381.160004,377.470001,378.940002,368.8685,4106700,801
2021-04-21,378.279999,382.670013,378.140015,382.5,372.333893,3640100,802
2021-04-22,382.320007,383.119995,377.959991,378.98999,368.917236,3965000,803
2021-04-23,379.570007,384.459991,379.459991,383.029999,372.849823,3781100,804
2021-04-26,383.730011,384.450012,383.320007,383.859985,373.657745,3125200,805
2021-04-27,384.200012,384.380005,382.720001,383.73999,373.540955,3370600,806
2021-04-28,384.100006,385.170013,383.23999,383.559998,373.365723,3960400,807
2021-04-29,386.399994,386.73999,382.809998,386.119995,375.857727,4209900,808
2021-04-30,383.910004,384.76001,382.730011,383.570007,373.375458,5219200,809
2021-05-03,385.559998,385.940002,383.959991,384.440002,374.222382,4180800,810
2021-05-04,382.519989,382.959991,378.450012,382.100006,371.944611,5485600,811
2021-05-05,383.720001,383.910004,381.440002,382.170013,372.012695,4410700,812
2021-05-06,382.26001,385.369995,380.269989,385.279999,375.040009,4737300,813
2021-05-07,386.019989,388.679993,385.329987,388.029999,377.716949,3516600,814
2021-05-10,388.410004,388.660004,384.089996,384.230011,374.017944,5942700,815
2021-05-11,379.75,381.73999,376.950012,380.859985,370.737518,7081500,816
2021-05-12,378.040009,379.269989,372.130005,372.730011,362.823578,7707400,817
2021-05-13,374.209991,379.049988,374.170013,377.160004,367.135834,7179100,818
2021-05-14,379.809998,383.790009,379.809998,382.950012,372.772003,5167900,819
2021-05-17,381.899994,382.75,380,382.029999,371.876404,3781600,820
2021-05-18,382.25,382.470001,378.540009,378.730011,368.664093,3128300,821
2021-05-19,374.059998,377.839996,372.619995,377.730011,367.690704,5086300,822
2021-05-20,378.570007,382.98999,378.450012,381.76001,371.613586,4776700,823
2021-05-21,383.230011,384.450012,381.01001,381.470001,371.331329,3567500,824
2021-05-24,383.690002,386.399994,383.440002,385.320007,375.078979,2962500,825
2021-05-25,386.399994,386.76001,383.940002,384.51001,374.290497,4031800,826
2021-05-26,385.089996,385.75,384.070007,385.209991,374.971863,2642700,827
2021-05-27,386.279999,386.779999,385.320007,385.380005,375.13739,3015900,828
2021-05-28,387.029999,387.269989,385.940002,386.130005,375.867462,3370100,829
2021-06-01,388.5,388.619995,385.380005,385.829987,375.575378,4389000,830
2021-06-02,386.450012,387.23999,385.470001,386.480011,376.20816,3209200,831
2021-06-03,384.170013,386.109985,382.700012,385.01001,374.777252,3391000,832
2021-06-04,386.809998,388.799988,386.76001,388.5,378.174469,2628100,833
2021-06-07,388.519989,388.690002,387.25,388.170013,377.853241,2500600,834
2021-06-08,389,389.079987,386.440002,388.230011,377.911621,2386600,835
2021-06-09,389.079987,389.130005,387.410004,387.619995,377.317841,2968100,836
2021-06-10,388.859985,390.359985,387.579987,389.410004,379.060272,2611800,837
2021-06-11,390,390.200012,388.730011,390.089996,379.722168,2241500,838
2021-06-14,390.209991,391.070007,389,391.070007,380.676147,2252200,839
2021-06-15,391.149994,391.200012,389.410004,390.25,379.87793,2405000,840
2021-06-16,390.420013,390.579987,386.019989,388.109985,377.79483,4194300,841
2021-06-17,387.619995,388.910004,385.5,387.970001,377.658539,4065300,842
2021-06-18,384.790009,385.380005,382.519989,382.820007,372.645416,5211100,843
2021-06-21,384.5,388.380005,383.649994,388.179993,377.862915,4389800,844
2021-06-22,388.23999,391.089996,387.470001,390.23999,379.868164,2705400,845
2021-06-23,390.350006,391.140015,389.700012,389.820007,379.459381,2404200,846
2021-06-24,391.890015,392.519989,391.670013,392.049988,381.630096,2987800,847
2021-06-25,392.899994,393.920013,392.540009,393.5,383.041565,2862800,848
2021-06-28,394.029999,394.450012,392.829987,394.320007,383.839783,2418500,849
2021-06-29,393.350006,393.940002,392.660004,393.160004,384.008698,2927600,850
2021-06-30,392.720001,394.130005,392.720001,393.519989,384.360321,3795900,851
2021-07-01,394.299988,395.850006,394.209991,395.73999,386.528656,3414500,852
2021-07-02,396.850006,399.049988,396.529999,398.75,389.468628,4363100,853
2021-07-06,398.769989,398.98999,395.299988,398,388.736084,4331300,854
2021-07-07,398.670013,399.660004,396.679993,399.369995,390.074188,4747800,855
2021-07-08,394.200012,396.880005,393.019989,396.190002,386.968201,5817100,856
2021-07-09,397.630005,400.649994,397.420013,400.369995,391.050903,3332200,857
2021-07-12,400.299988,402.029999,399.869995,401.820007,392.467163,2929200,858
2021-07-13,401.079987,402.5,400.179993,400.459991,391.138794,4313100,859
2021-07-14,402.059998,402.570007,399.820007,401.01001,391.676025,3332200,860
2021-07-15,399.73999,400.380005,397.809998,399.720001,390.416016,4483900,861
